lat,lng,Place,Country,Language,Year,Translator,Title,Publisher,Address,Comments,img
59.3413882157,18.0736358822,Stockholm,Sweden,Swedish,1957,Ingegerd von Tell,Jane Eyre,Natur och kultur,,Von Tell's translation was first published in 1943,https://raw.githubusercontent.com/digitalkoine/swedish_storymap/main/swedish/1957%20Von%20Tell.jpg
59.3376778912,18.0421794675,Stockholm,Sweden,Swedish,2005,Birgit Edlund and Gun-Britt Sundstrum,Jane Eyre,Bonnier,,Sundström's translation was first published in 1999,https://raw.githubusercontent.com/digitalkoine/swedish_storymap/main/swedish/2005%20%20Edlund%20and%20Sundström.jpg
59.3179610905,18.0674342182,Stockholm,Sweden,Swedish,2014,Ingegerd von Tell,Jane Eyre,Modernista,,Von Tell's translation was first published in 1943,https://raw.githubusercontent.com/digitalkoine/swedish_storymap/main/swedish/2014%20von%20Tell.jpg
